Dimension,Group,N,Prevalence,ROC-AUC,AUC CI low,AUC CI high,Brier,ECE,Sensitivity,Specificity
Recorded sex,Female,8963,0.49046078321990405,0.809600482792546,0.8008762423529698,0.8185652735820641,0.17668034663687268,0.012248622900123294,0.6758416742493175,0.8042478651193343
Recorded sex,Male,4749,0.5028427037271005,0.801780060119885,0.7888495282183083,0.8133829645362162,0.1805154423007428,0.014163036371174845,0.664572864321608,0.8026260059296908
Age group,<50,3581,0.34403797821837473,0.828370078729274,0.8135833830011009,0.8434925700423909,0.1452427472394061,0.01539167695927109,0.5762987012987013,0.9246487867177522
Age group,50–59,6883,0.4901932296963533,0.7789416679913435,0.7685993619426679,0.7885501968948044,0.1889091682491938,0.008028891218664423,0.6144042679312389,0.8238814477058991
Age group,60–69,3248,0.6705665024630542,0.7213260472181457,0.7011238985722165,0.739891180043177,0.19103377446705766,0.02281196281782505,0.8149678604224059,0.4719626168224299
BP group,<120,2634,0.23500379650721337,0.7086768461097503,0.6864490668137558,0.7311249564394708,0.15902490381980816,0.007164218415615963,0.14862681744749595,0.9781637717121588
BP group,120–139,7404,0.414235548352242,0.7190163288132935,0.7065229877430382,0.7311928922445549,0.2080106439255337,0.01527339431830133,0.44603847407890446,0.829375144108831
BP group,140–159,2806,0.8342836778332146,0.5766224341219863,0.5515028678867495,0.6024623382298581,0.13703438615020816,0.008641864977634223,1.0,0.0
BP group,160+,868,0.8721198156682027,0.5098599259761744,0.44687891359112786,0.5668856338014542,0.11215770802880984,0.015891405341393147,1.0,0.0
