Uncertainty,Calibration AURC,Mistake-detection AUC
Probability margin,0.18259084022496483,0.6695980091375143
Entropy,0.18259084022496483,0.6695980091375143
Entropy + disagreement,0.18663606725036305,0.6593188036231306
Entropy + disagreement + OOD,0.18942488426220108,0.6516003931256142
Model disagreement,0.23161906688652623,0.5620004028652128
