Dataset,N,Prevalence,ROC-AUC,PR-AUC,Brier,LogLoss,ECE,Accuracy,Balanced accuracy,F1,AUC CI low,AUC CI high
Source locked test,13712,0.49474912485414235,0.79908418063219,0.7847227309602357,0.18159945548599873,0.5433707530841226,0.00890523148379141,0.7317677946324388,0.7313016090025709,0.7170333897522696,0.79222115996777,0.8067021968490284
Second provided dataset,918,0.5533769063180828,0.5486820626080277,0.587866526203918,0.284986184903094,0.7950723383024451,0.1799612926076239,0.5577342047930284,0.5392260418667179,0.6407079646017699,0.5121032230025666,0.5850244948215075
