Model,Source OOF ROC-AUC,Source locked ROC-AUC,External ROC-AUC,External PR-AUC,External Brier,External ECE
Portable logistic,0.7833201423145686,0.7923735634756689,0.5932350681774534,0.6481136558722963,0.2747809779440739,0.1732713434753007
Portable LDA,0.7825900556877181,0.7919206655416631,0.5965527174956788,0.6502042929350411,0.27022019281584736,0.15567464305769438
Portable HistGB,0.7906983016151482,0.7990051266871651,0.5579028231227194,0.5974842731164154,0.2850913278571711,0.18831250039262695
Portable XGBoost,0.7909986920628077,0.7993512895612283,0.5602770309199155,0.5974995467431591,0.282054171451943,0.17443722264926417
Portable LightGBM,0.7910756073228218,0.7987815075343697,0.5643868830420588,0.6065307103233033,0.28462662720203125,0.1792081908533311
Portable CatBoost,0.7912045474404737,0.79908418063219,0.5486820626080277,0.587866526203918,0.284986184903094,0.1799612926076239
